"Select <strong>Yes</strong> to allow leaving messages on the whole order.","Select <strong>Yes</strong> to allow leaving messages on the whole order."
"Enable Gift Messages on item","Enable Gift Messages on item"
"Select <strong>Yes</strong> to allow leaving messages on each item.","Select <strong>Yes</strong> to allow leaving messages on each item."
"Show Terms and Conditions","Show Terms and Conditions"
"Select <strong>No</strong> to hide <strong>Terms and Conditions</strong>, or select an area to display it.","Select <strong>No</strong> to hide <strong>Terms and Conditions</strong>, or select an area to display it."
"Enable Social Login On Checkout Page","Enable Social Login On Checkout Page"
"Select <strong>Yes</strong> to allow customers to login via their social network accounts. Supports Mageplaza <a href=""https://www.mageplaza.com/magento-2-social-login-extension"" target=""_blank"">Social Login</a>","Select <strong>Yes</strong> to allow customers to login via their social network accounts. Supports Mageplaza <a href=""https://www.mageplaza.com/magento-2-social-login-extension"" target=""_blank"">Social Login</a>"
"Review Cart Section","Review Cart Section"
"Show Order Review Section","Show Order Review Section"
"Select <strong>No</strong> to remove the Order Review section. The section is displayed by default.","Select <strong>No</strong> to remove the Order Review section. The section is displayed by default."
"Show Product List Toggle","Show Product List Toggle"
"Select <strong>Yes</strong> to show product list toggle.","Select <strong>Yes</strong> to show product list toggle."
"Show Product Thumbnail Image","Show Product Thumbnail Image"
"Select <strong>Yes</strong> to show product thumbnail image.","Select <strong>Yes</strong> to show product thumbnail image."
"Enable Gift Wrap","Enable Gift Wrap"
"Select <strong>Yes</strong> to enable Gift Wrap.","Select <strong>Yes</strong> to enable Gift Wrap."
"Calculate Method","Calculate Method"
"To calculate gift wrap fee based on item or order.","To calculate gift wrap fee based on item or order."
Amount,Amount
"Enter the amount of gift wrap fee.","Enter the amount of gift wrap fee."
Newsletter,Newsletter
"Show Newsletter Checkbox","Show Newsletter Checkbox"
"Select <strong>Yes</strong> to show the Newsletter checkbox.","Select <strong>Yes</strong> to show the Newsletter checkbox."
"Checked Newsletter by default","Checked Newsletter by default"
"Select <strong>Yes</strong> to have the Newsletter checkbox ticked by default.","Select <strong>Yes</strong> to have the Newsletter checkbox ticked by default."
Survey,Survey
"Enable Survey","Enable Survey"
"Select <strong>Yes</strong> to show a survey after successful checkout","Select <strong>Yes</strong> to show a survey after successful checkout"
"Survey Question","Survey Question"
"Survey Answers","Survey Answers"
"Allow Customer Add Other Option","Allow Customer Add Other Option"
"Seal block","Seal block"
"Enable Seal Block","Enable Seal Block"
"This seal will be displayed under Place Order button","This seal will be displayed under Place Order button"
"Upload Image","Upload Image"
"Find more badges <a href=""https://github.com/mageplaza/m2-one-step-checkout-releases/tree/master/badges"" target=""_blank"">here</a>","Find more badges <a href=""https://github.com/mageplaza/m2-one-step-checkout-releases/tree/master/badges"" target=""_blank"">here</a>"
"Seal Description","Seal Description"
"Enter description for the seal. HTML allowed.","Enter description for the seal. HTML allowed."
"Static CMS Block","Static CMS Block"
"Enable Static CMS Block","Enable Static CMS Block"
"Select <strong>Yes</strong> to enable Static CMS Block.","Select <strong>Yes</strong> to enable Static CMS Block."
